mesh,method,mse_x,mse_y,mse_z,mae_x,mae_y,mae_z
branch,minmax,8.983184729166263e-07,1.173721059976608e-06,2.725392345895e-07,0.000818670534695198,0.0009330417294175057,0.00045028796551734506
branch,unitsphere,2.2970399774911926e-06,2.4496002808894303e-06,2.2715690945238055e-06,0.001297137758291712,0.0013686973992361497,0.0013085873008436882
cylinder,minmax,1.1949387631550368e-06,0.0,1.1949387631550368e-06,0.0009164222873900216,0.0,0.0009164222873900216
cylinder,unitsphere,2.525702349479517e-06,2.669286101270609e-06,2.5257023494794822e-06,0.0013824181634276992,0.0013824181634277122,0.0013824181634276868
explosive,minmax,5.251261550316453e-08,2.725553511728668e-07,4.8077400039084075e-08,0.00019612069937664174,0.00043890841617200534,0.00019156645795355407
explosive,unitsphere,4.512319599703577e-07,3.74721075605803e-07,3.4451142770217755e-07,0.0005982647499342709,0.0005436687963675015,0.0004978540101556778
fence,minmax,2.6361238518231795e-07,2.0730225868035893e-07,8.53662299794119e-11,0.0004258087246995595,0.000389324104421822,3.881317923063797e-06
fence,unitsphere,4.0995195710134145e-07,3.690322531372848e-07,3.0329012029446187e-07,0.0005700807075045329,0.0005844154254888728,0.0004719430228469186
girl,minmax,3.1510501115967993e-07,2.591587972095348e-07,4.1961927358961494e-08,0.0004910627539078282,0.00044113285866406493,0.00017727216700580116
girl,unitsphere,3.564402524345904e-07,3.5091451674872274e-07,3.4922068383787376e-07,0.0005213271278649682,0.0005159384099560907,0.0005116775632387071
person,minmax,9.089308016293389e-07,1.396803862313391e-06,6.160909830065374e-08,0.0008203834601458733,0.0010401376040403895,0.00021505560380660475
person,unitsphere,1.9290445043511178e-06,1.6901141277927428e-06,1.6701619513142027e-06,0.0012033436996419966,0.001113569845746489,0.0011008518831352881
table,minmax,4.331020767845622e-08,1.030992184993578e-07,3.000244119927595e-07,0.0001638231939222565,0.00027134223252734546,0.0004850482268684305
table,unitsphere,4.678687826287257e-07,4.6817462052323864e-07,4.738102282183812e-07,0.000599927585765098,0.0005995483647841596,0.0005972730389246907
talwar,minmax,1.3780026695952058e-09,3.727312185166026e-07,1.8021047349023286e-08,3.13819073773252e-05,0.0005372716378217046,0.00011645656846956401
talwar,unitsphere,6.359926129282925e-07,5.368018446146848e-07,5.810034459779177e-07,0.0006883312872293368,0.0006087506735698424,0.0006546941206306963
